Site,year,month,Tmax,Tmin,AFdays,Precip
Oxford,1931,1,6.5,0.8,14,36.2
Oxford,1931,2,7.4,1.3,6,43.7
Oxford,1931,3,9.2,0.3,16,3.7
Oxford,1931,4,11.8,4.7,0,75.8
Oxford,1931,5,16.1,7.8,0,72.8
Oxford,1931,6,19.5,11.0,0,89.7
Oxford,1931,7,19.6,12.1,0,80.6
Oxford,1931,8,19.1,11.2,0,90.4
Oxford,1931,9,15.7,8.3,0,62.9
Oxford,1931,10,13.4,5.2,8,18.1
Oxford,1931,11,11.0,5.1,1,90.6
Oxford,1931,12,7.8,2.8,6,28.8
Oxford,1932,1,9.4,3.5,5,38.3
Oxford,1932,2,5.8,-0.4,17,3.5
Oxford,1932,3,9.6,0.4,15,54.4
Oxford,1932,4,11.3,3.8,1,62.1
Oxford,1932,5,14.8,7.5,0,139.1
Oxford,1932,6,19.2,9.5,0,14.6
Oxford,1932,7,20.6,12.7,0,61.6
Oxford,1932,8,22.9,13.6,0,64.7
Oxford,1932,9,17.7,9.7,0,66.0
Oxford,1932,10,13.1,5.9,1,120.8
Oxford,1932,11,9.6,4.0,1,31.5
Oxford,1932,12,8.2,3.5,4,17.7
Oxford,1933,1,5.3,-0.7,19,44.5
Oxford,1933,2,7.9,1.4,14,88.6
Oxford,1933,3,12.9,3.3,4,60.6
Oxford,1933,4,14.4,4.5,2,25.3
Oxford,1933,5,17.7,8.1,0,44.9
Oxford,1933,6,21.4,10.6,0,34.1
Oxford,1933,7,23.9,13.6,0,47.5
Oxford,1933,8,24.6,12.7,0,20.5
Oxford,1933,9,20.6,10.7,0,52.8
Oxford,1933,10,14.0,6.7,1,36.3
Oxford,1933,11,8.8,2.8,6,28.5
Oxford,1933,12,3.5,-0.7,16,7.8
Oxford,1934,1,7.5,0.6,12,47.8
Oxford,1934,2,7.5,-0.5,14,7.7
Oxford,1934,3,9.6,1.3,8,45.2
Oxford,1934,4,12.7,4.5,3,53.0
Oxford,1934,5,17.6,6.9,0,18.0
Oxford,1934,6,21.1,10.6,0,36.6
Oxford,1934,7,25.3,12.9,0,24.0
Oxford,1934,8,21.1,11.4,0,46.2
Oxford,1934,9,20.2,10.7,0,61.4
Oxford,1934,10,14.5,7.6,1,34.9
Oxford,1934,11,9.3,3.9,3,41.4
Oxford,1934,12,10.5,5.9,0,142.2
Oxford,1935,1,7.3,2.5,5,13.9
Oxford,1935,2,9.3,2.9,4,52.0
Oxford,1935,3,11.1,2.8,6,11.4
Oxford,1935,4,12.6,4.4,3,91.8
Oxford,1935,5,15.1,5.4,2,35.9
Oxford,1935,6,20.0,11.2,0,114.6
Oxford,1935,7,23.9,12.7,0,12.9
Oxford,1935,8,23.4,12.1,0,45.3
Oxford,1935,9,18.7,10.2,0,116.3
Oxford,1935,10,14.0,6.1,3,94.9
